id,question,options,answer,explanation,category
1,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
2,FOURIER試験において使用されたPCSK9阻害薬はどれですか？,Alirocumab;Evolocumab;Inclisiran;Atorvastatin,Evolocumab,FOURIER試験ではEvolocumabが使用され、LDL-Cのさらなる低下とイベント抑制効果が示されました。,薬剤
3,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
4,Lp(a)の濃度は主に何によって決定されますか？,食事;運動;遺伝;年齢,遺伝,Lp(a)は遺伝的に決定されるリポタンパクであり、環境因子の影響は小さいとされています。,Lp(a)
5,LDL-Cの目標値が<55 mg/dLに設定されるのはどのリスク層ですか？,低リスク;中リスク;高リスク;非常に高リスク,非常に高リスク,ESC/EAS 2019ガイドラインでは、非常に高リスク群に対してLDL-C<55 mg/dLを推奨しています。,LDL
6,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
7,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
8,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
9,Pelacarsenの作用機序として正しいのは？,PCSK9阻害;スタチン作用;ASOによる転写抑制;LDL受容体活性化,ASOによる転写抑制,Pelacarsenはアンチセンスオリゴ（ASO）であり、Lp(a)をコードするmRNAを分解します。,治療
10,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
11,Lp(a)の測定単位において、現在の国際標準はどれですか？,mg/dL;mmol/L;g/L;nmol/L,nmol/L,Lp(a)は分子数を反映するnmol/L単位が国際標準として推奨されています（IFCC準拠）。,Lp(a)
